source_campaign,wave_id,mode,measured_repeat,jobs_in_wave,job_slot,job_name,checkpoint_path,train_seed,sample_seed
ai_hpc_proxy_20260727,legacy_single_rep1,warm_single,1,1,a,gh01_e12_p9_sobel50_w2_rep1,/scratch/user/u.mt227311/microstructure-imggen/runs/ai_hpc_proxy_20260727/gh01_e12_p9_sobel50_w2_rep1/e7_last.pt,1,9091
ai_hpc_proxy_20260727,legacy_single_rep2,warm_single,2,1,a,gh01_e12_p9_sobel50_w2_rep2,/scratch/user/u.mt227311/microstructure-imggen/runs/ai_hpc_proxy_20260727/gh01_e12_p9_sobel50_w2_rep2/e7_last.pt,2,9092
sc26_gh200_scaling_repeats_20260809_single,new_single_rep1,warm_single,3,1,a,gh01_e12_p9_sobel50_w2_rep1,/scratch/user/u.mt227311/microstructure-imggen/runs/sc26_gh200_scaling_repeats_20260809_single/gh01_e12_p9_sobel50_w2_rep1/e7_last.pt,1,9091
sc26_gh200_scaling_repeats_20260809_single,new_single_rep2,warm_single,4,1,a,gh01_e12_p9_sobel50_w2_rep2,/scratch/user/u.mt227311/microstructure-imggen/runs/sc26_gh200_scaling_repeats_20260809_single/gh01_e12_p9_sobel50_w2_rep2/e7_last.pt,2,9092
ai_hpc_proxy_20260727,legacy_c2_20260727,concurrent_2,1,2,a,gh01_e12_p9_conc2_a,/scratch/user/u.mt227311/microstructure-imggen/runs/ai_hpc_proxy_20260727/gh01_e12_p9_conc2_a/e7_last.pt,101,9301
ai_hpc_proxy_20260727,legacy_c2_20260727,concurrent_2,1,2,b,gh01_e12_p9_conc2_b,/scratch/user/u.mt227311/microstructure-imggen/runs/ai_hpc_proxy_20260727/gh01_e12_p9_conc2_b/e7_last.pt,102,9302
sc26_gh200_scaling_repeats_20260809_recovery1_c2_r1,new_c2_r1,concurrent_2,2,2,a,gh01_e12_p9_conc2_a,/scratch/user/u.mt227311/microstructure-imggen/runs/sc26_gh200_scaling_repeats_20260809_recovery1_c2_r1/gh01_e12_p9_conc2_a/e7_last.pt,101,9301
sc26_gh200_scaling_repeats_20260809_recovery1_c2_r1,new_c2_r1,concurrent_2,2,2,b,gh01_e12_p9_conc2_b,/scratch/user/u.mt227311/microstructure-imggen/runs/sc26_gh200_scaling_repeats_20260809_recovery1_c2_r1/gh01_e12_p9_conc2_b/e7_last.pt,102,9302
sc26_gh200_scaling_repeats_20260809_recovery1_c2_r2,new_c2_r2,concurrent_2,3,2,a,gh01_e12_p9_conc2_a,/scratch/user/u.mt227311/microstructure-imggen/runs/sc26_gh200_scaling_repeats_20260809_recovery1_c2_r2/gh01_e12_p9_conc2_a/e7_last.pt,101,9301
sc26_gh200_scaling_repeats_20260809_recovery1_c2_r2,new_c2_r2,concurrent_2,3,2,b,gh01_e12_p9_conc2_b,/scratch/user/u.mt227311/microstructure-imggen/runs/sc26_gh200_scaling_repeats_20260809_recovery1_c2_r2/gh01_e12_p9_conc2_b/e7_last.pt,102,9302
sc26_gh200_scaling_repeats_20260809_recovery1_c2_r3,new_c2_r3,concurrent_2,4,2,a,gh01_e12_p9_conc2_a,/scratch/user/u.mt227311/microstructure-imggen/runs/sc26_gh200_scaling_repeats_20260809_recovery1_c2_r3/gh01_e12_p9_conc2_a/e7_last.pt,101,9301
sc26_gh200_scaling_repeats_20260809_recovery1_c2_r3,new_c2_r3,concurrent_2,4,2,b,gh01_e12_p9_conc2_b,/scratch/user/u.mt227311/microstructure-imggen/runs/sc26_gh200_scaling_repeats_20260809_recovery1_c2_r3/gh01_e12_p9_conc2_b/e7_last.pt,102,9302
ai_hpc_tier1_20260728,legacy_c3_20260728,concurrent_3,1,3,a,gh01_e12_p9_conc3_a,/scratch/user/u.mt227311/microstructure-imggen/runs/ai_hpc_tier1_20260728/gh01_e12_p9_conc3_a/e7_last.pt,201,9401
ai_hpc_tier1_20260728,legacy_c3_20260728,concurrent_3,1,3,b,gh01_e12_p9_conc3_b,/scratch/user/u.mt227311/microstructure-imggen/runs/ai_hpc_tier1_20260728/gh01_e12_p9_conc3_b/e7_last.pt,202,9402
ai_hpc_tier1_20260728,legacy_c3_20260728,concurrent_3,1,3,c,gh01_e12_p9_conc3_c,/scratch/user/u.mt227311/microstructure-imggen/runs/ai_hpc_tier1_20260728/gh01_e12_p9_conc3_c/e7_last.pt,203,9403
sc26_gh200_scaling_repeats_20260809_recovery1_c3_r1,new_c3_r1,concurrent_3,2,3,a,gh01_e12_p9_conc3_a,/scratch/user/u.mt227311/microstructure-imggen/runs/sc26_gh200_scaling_repeats_20260809_recovery1_c3_r1/gh01_e12_p9_conc3_a/e7_last.pt,201,9401
sc26_gh200_scaling_repeats_20260809_recovery1_c3_r1,new_c3_r1,concurrent_3,2,3,b,gh01_e12_p9_conc3_b,/scratch/user/u.mt227311/microstructure-imggen/runs/sc26_gh200_scaling_repeats_20260809_recovery1_c3_r1/gh01_e12_p9_conc3_b/e7_last.pt,202,9402
sc26_gh200_scaling_repeats_20260809_recovery1_c3_r1,new_c3_r1,concurrent_3,2,3,c,gh01_e12_p9_conc3_c,/scratch/user/u.mt227311/microstructure-imggen/runs/sc26_gh200_scaling_repeats_20260809_recovery1_c3_r1/gh01_e12_p9_conc3_c/e7_last.pt,203,9403
sc26_gh200_scaling_repeats_20260809_recovery1_c3_r2,new_c3_r2,concurrent_3,3,3,a,gh01_e12_p9_conc3_a,/scratch/user/u.mt227311/microstructure-imggen/runs/sc26_gh200_scaling_repeats_20260809_recovery1_c3_r2/gh01_e12_p9_conc3_a/e7_last.pt,201,9401
sc26_gh200_scaling_repeats_20260809_recovery1_c3_r2,new_c3_r2,concurrent_3,3,3,b,gh01_e12_p9_conc3_b,/scratch/user/u.mt227311/microstructure-imggen/runs/sc26_gh200_scaling_repeats_20260809_recovery1_c3_r2/gh01_e12_p9_conc3_b/e7_last.pt,202,9402
